id,created_by,created_at,operation_type,target_model,detail
66,yaozeliang,2021-08-03 18:06:19.234864+00:00,danger,BorrowRecord,Delete BorrowRecord test_m4
67,yaozeliang,2021-08-03 18:06:20.219175+00:00,danger,BorrowRecord,Delete BorrowRecord test_m7
68,yaozeliang,2021-08-03 18:13:37.545927+00:00,success,BorrowRecord, 'John Brown' borrowed <<Your Titleo>>
69,yaozeliang,2021-08-03 18:24:36.410667+00:00,success,BorrowRecord, 'test_m1' borrowed <<Test Title>>
70,yaozeliang,2021-08-03 18:24:40.317420+00:00,danger,BorrowRecord,Delete BorrowRecord John Brown
71,yaozeliang,2021-08-03 18:26:04.855577+00:00,danger,BorrowRecord,Delete BorrowRecord test_m1
72,yaozeliang,2021-08-03 18:26:20.180396+00:00,success,BorrowRecord, 'John Johnson' borrowed <<Harry Potter Children's Collection>>
73,yaozeliang,2021-08-03 18:32:27.196255+00:00,success,BorrowRecord, 'John Brown' borrowed <<Harry Potter Children's Collection>>
74,yaozeliang,2021-08-03 18:41:38.360768+00:00,success,BorrowRecord, 'John Brown' borrowed <<Harry Potter Children's Collection>>
75,yaozeliang,2021-08-03 18:44:13.663816+00:00,success,BorrowRecord, 'test_m3' borrowed <<Your Titleo>>
76,yaozeliang,2021-08-03 18:44:59.761830+00:00,success,BorrowRecord, 'John Johnson' borrowed <<Test Title>>
77,yaozeliang,2021-08-03 18:54:38.355012+00:00,success,Book,Create Book << Amazing Test Book >>
78,yaozeliang,2021-08-03 18:54:48.257682+00:00,warning,Book,Update Book << Amazing Test Book >>
79,yaozeliang,2021-08-03 18:55:06.736069+00:00,warning,Book,Update Book << Amazing Test Book >>
80,yaozeliang,2021-08-03 18:55:54.807214+00:00,warning,Book,Update Book << Test Title >>
81,yaozeliang,2021-08-03 18:56:03.515515+00:00,warning,Book,Update Book << Amazing Test Book >>
82,yaozeliang,2021-08-03 18:56:30.180451+00:00,success,BorrowRecord, 'John Brown' borrowed <<Amazing Test Book>>
83,yaozeliang,2021-08-03 19:04:25.490598+00:00,danger,BorrowRecord,Delete BorrowRecord test_m3
84,yaozeliang,2021-08-03 19:04:26.289631+00:00,danger,BorrowRecord,Delete BorrowRecord John Brown
85,yaozeliang,2021-08-03 19:04:27.045728+00:00,danger,BorrowRecord,Delete BorrowRecord John Johnson
86,yaozeliang,2021-08-03 19:04:43.458849+00:00,success,BorrowRecord, 'John Brown' borrowed <<Amazing Test Book>>
87,yaozeliang,2021-08-03 19:05:57.444310+00:00,success,BorrowRecord, 'test_m6' borrowed <<Amazing Test Book>>
88,yaozeliang,2021-08-03 19:07:37.880108+00:00,danger,BorrowRecord,Delete BorrowRecord John Brown
89,yaozeliang,2021-08-03 19:07:38.830417+00:00,danger,BorrowRecord,Delete BorrowRecord test_m6
90,yaozeliang,2021-08-03 19:07:47.120655+00:00,success,BorrowRecord, 'John Brown' borrowed <<Amazing Test Book>>
91,yaozeliang,2021-08-03 19:21:12.346049+00:00,success,BorrowRecord, 'Andrew Green' borrowed <<Amazing Test Book>>
92,yaozeliang,2021-08-03 19:21:18.358961+00:00,danger,BorrowRecord,Delete BorrowRecord Andrew Green
93,yaozeliang,2021-08-03 19:21:27.725222+00:00,success,BorrowRecord, 'Andrew Green' borrowed <<Amazing Test Book>>
94,yaozeliang,2021-08-03 20:17:09.419967+00:00,success,Book,Create Book << Best Book >>
95,yaozeliang,2021-08-03 20:17:32.727403+00:00,warning,Book,Update Book << Best Book >>
96,yaozeliang,2021-08-03 20:18:31.194942+00:00,success,Member,Create Member << Claire Andson >>
97,yaozeliang,2021-08-03 20:36:17.553533+00:00,success,BorrowRecord, 'John Brown' borrowed <<Harry Potter Children's Collection>>
98,yaozeliang,2021-08-03 20:37:03.883997+00:00,success,BorrowRecord, 'Claire Andson' borrowed <<MarkdownTestA>>
99,yaozeliang,2021-08-03 20:37:29.522495+00:00,danger,BorrowRecord,Delete BorrowRecord Claire Andson
100,yaozeliang,2021-08-03 20:37:50.353722+00:00,success,BorrowRecord, 'Andrew Green' borrowed <<MarkdownTestA>>
101,yaozeliang,2021-08-03 20:44:06.705308+00:00,success,BorrowRecord, 'test_m1' borrowed <<T1>>
102,yaozeliang,2021-08-03 20:46:04.301828+00:00,success,BorrowRecord, 'John Johnson' borrowed <<Best Book>>
103,yaozeliang,2021-08-04 07:49:52.811657+00:00,danger,BorrowRecord,Delete BorrowRecord John Johnson
104,yaozeliang,2021-08-04 08:25:38.317474+00:00,success,BorrowRecord, 'John Brown' borrowed <<Best Book>>
105,yaozeliang,2021-08-04 18:14:31.781467+00:00,success,BorrowRecord, 'John Brown' borrowed <<Best Book>>
106,yaozeliang,2021-08-04 18:14:36.718553+00:00,danger,BorrowRecord,Delete BorrowRecord John Brown
107,yaozeliang,2021-08-04 18:14:38.317228+00:00,danger,BorrowRecord,Delete BorrowRecord Andrew Green
108,yaozeliang,2021-08-04 18:14:39.322509+00:00,danger,BorrowRecord,Delete BorrowRecord Andrew Green
109,yaozeliang,2021-08-04 18:14:40.086230+00:00,danger,BorrowRecord,Delete BorrowRecord test_m1
110,yaozeliang,2021-08-04 18:14:43.511607+00:00,danger,BorrowRecord,Delete BorrowRecord John Brown
111,yaozeliang,2021-08-04 18:43:45.625752+00:00,success,BorrowRecord, 'John Brown' borrowed <<Amazing Test Book>>
112,admin_1,2021-08-04 18:49:13.698766+00:00,success,Member,Create Member << Emilia >>
113,admin_1,2021-08-04 18:50:28.290081+00:00,success,BorrowRecord, 'Emilia' borrowed <<Best Book>>
114,yaozeliang,2021-08-05 10:03:22.267961+00:00,success,Publisher,Create Publisher << Fake Pub 5 >>
115,yaozeliang,2021-08-05 10:15:56.456222+00:00,warning,Member,Update Member << Emilia >>
116,yaozeliang,2021-08-05 10:16:52.846104+00:00,warning,Member,Update Member << Emilia >>
117,yaozeliang,2021-08-05 10:19:55.861341+00:00,warning,Member,Update Member << Emilia >>
118,yaozeliang,2021-08-05 10:20:48.180587+00:00,warning,Member,Update Member << Emilia >>
119,yaozeliang,2021-08-05 13:02:42.473578+00:00,warning,Member,Update Member << Emilia >>
120,yaozeliang,2021-08-05 13:19:40.909554+00:00,success,BorrowRecord, 'John Brown' borrowed <<Amazing Test Book>>
121,yaozeliang,2021-08-05 13:25:17.890913+00:00,danger,BorrowRecord,Delete BorrowRecord John Brown
122,yaozeliang,2021-08-05 14:06:12.447557+00:00,success,Member,Create Member << anderson green >>
123,yaozeliang,2021-08-05 14:08:39.067774+00:00,success,BorrowRecord, 'anderson green' borrowed <<Best Book>>
124,yaozeliang,2021-08-07 17:28:02.222706+00:00,success,BorrowRecord, 'Claire Andson' borrowed <<Harry Potter Children's Collection>>
125,yaozeliang,2021-08-07 17:29:19.735308+00:00,success,Book,Create Book << Harry Potter and magic stone >>
126,yaozeliang,2021-08-07 17:29:54.591315+00:00,success,BorrowRecord, 'Claire Andson' borrowed <<Harry Potter and magic stone>>
127,yaozeliang,2021-08-07 19:16:50.162457+00:00,success,BorrowRecord, 'Claire Andson' borrowed <<Best Book>>
128,yaozeliang,2021-08-09 10:49:15.158645+00:00,warning,Book,Update Book << Harry Potter and magic stone >>
129,admin_1,2021-08-09 17:18:10.590281+00:00,success,Category,Create Category << xxxxxxxxxxx >>
130,admin_1,2021-08-09 17:22:34.541601+00:00,success,Category,Create Category << xxxxxxxxxxx >>
131,admin_1,2021-08-09 17:24:09.357405+00:00,danger,Category,Delete Category << xxxxxxxxxxx >>
132,admin_1,2021-08-09 17:25:34.678693+00:00,danger,Category,Delete Category << xxxxxxxxxxx >>
133,admin_1,2021-08-09 17:27:38.028719+00:00,success,Category,Create Category << qqqqqqqqq >>
134,admin_1,2021-08-09 17:27:47.653012+00:00,success,Category,Create Category << 7777 >>
135,admin_1,2021-08-09 17:28:54.656284+00:00,danger,Category,Delete Category << 7777 >>
136,admin_1,2021-08-09 17:29:13.413340+00:00,success,Category,Create Category << Fashion >>
137,admin_1,2021-08-09 17:29:34.340160+00:00,success,Category,Create Category << 7777 >>
138,admin_1,2021-08-09 17:36:05.247955+00:00,danger,Category,Delete Category << 7777 >>
